chat_json,message_id,date,text,entities
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""ChatType.CHANNEL"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgADybIxGxn9wUoAEAIAA76x7tIW____oRgnwqaE044ABB4E"",
        ""small_photo_unique_id"": ""AgADybIxGxn9wUo"",
        ""big_file_id"": ""AQADAgADybIxGxn9wUoAEAMAA76x7tIW____oRgnwqaE044ABB4E"",
        ""big_photo_unique_id"": ""AgADybIxGxn9wUo""
    },
    ""dc_id"": 2,
    ""has_protected_content"": false
}",778,2023-08-17 20:02:03,"👨🏻‍💻 Machine Learning Engineer (ML)

AlliesVerse — компания разработчик универсальной платформы управления бизнесом, в поисках ML инженера

 Что почём?

▪️Senior
▪️250 000 - 350 000 ₽
▪️Удалённая работа

📩 Изучить вакансию","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 8,
        ""length"": 32
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 144,
        ""length"": 12
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 210,
        ""length"": 16,
        ""url"": ""https://hh.ru/vacancy/85185375""
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""ChatType.CHANNEL"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgADybIxGxn9wUoAEAIAA76x7tIW____oRgnwqaE044ABB4E"",
        ""small_photo_unique_id"": ""AgADybIxGxn9wUo"",
        ""big_file_id"": ""AQADAgADybIxGxn9wUoAEAMAA76x7tIW____oRgnwqaE044ABB4E"",
        ""big_photo_unique_id"": ""AgADybIxGxn9wUo""
    },
    ""dc_id"": 2,
    ""has_protected_content"": false
}",777,2023-08-17 15:35:54,"👨🏻‍💻 Data Scientist (Middle)

Финансовая компания Центрофинанс, приглашает Data Scientist'а

 Что почём?

▪️Middle
▪️150 000 - 180 000 ₽
▪️Удалённая работа

📩 Изучить вакансию","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 8,
        ""length"": 25
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 97,
        ""length"": 12
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 163,
        ""length"": 16,
        ""url"": ""https://hh.ru/vacancy/85255041""
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""ChatType.CHANNEL"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgADybIxGxn9wUoAEAIAA76x7tIW____oRgnwqaE044ABB4E"",
        ""small_photo_unique_id"": ""AgADybIxGxn9wUo"",
        ""big_file_id"": ""AQADAgADybIxGxn9wUoAEAMAA76x7tIW____oRgnwqaE044ABB4E"",
        ""big_photo_unique_id"": ""AgADybIxGxn9wUo""
    },
    ""dc_id"": 2,
    ""has_protected_content"": false
}",776,2023-08-16 20:03:01,"👨🏻‍💻 Data Scientist

Лаборатория Умного Вождения — компания разработчик решений для водителей, автопроизводителей, страховых компаний, автодилеров и автопарков, в поисках Data Scientist

 Что почём?

▪️Senior
▪️От 250 000 ₽
▪️Офис (Москва) / Гибрид

📩 Изучить вакансию","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 8,
        ""length"": 16
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 191,
        ""length"": 12
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 256,
        ""length"": 16,
        ""url"": ""https://hh.ru/vacancy/84998255""
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""ChatType.CHANNEL"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgADybIxGxn9wUoAEAIAA76x7tIW____oRgnwqaE044ABB4E"",
        ""small_photo_unique_id"": ""AgADybIxGxn9wUo"",
        ""big_file_id"": ""AQADAgADybIxGxn9wUoAEAMAA76x7tIW____oRgnwqaE044ABB4E"",
        ""big_photo_unique_id"": ""AgADybIxGxn9wUo""
    },
    ""dc_id"": 2,
    ""has_protected_content"": false
}",775,2023-08-16 09:02:01,"👨🏻‍💻 Data Team Lead

Команда разрабатывающая систему бронирования авиабилетов Clickavia, ищет руководителя направления Data (Data Team Lead), который сможет построить данное направление с нуля

Что почём?

▪️Lead
▪️4000 - 6500 $
▪️Удалёнка

📩 Изучить вакансию","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 8,
        ""length"": 16
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 197,
        ""length"": 12
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 247,
        ""length"": 16,
        ""url"": ""https://career.habr.com/vacancies/1000128528""
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""ChatType.CHANNEL"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgADybIxGxn9wUoAEAIAA76x7tIW____oRgnwqaE044ABB4E"",
        ""small_photo_unique_id"": ""AgADybIxGxn9wUo"",
        ""big_file_id"": ""AQADAgADybIxGxn9wUoAEAMAA76x7tIW____oRgnwqaE044ABB4E"",
        ""big_photo_unique_id"": ""AgADybIxGxn9wUo""
    },
    ""dc_id"": 2,
    ""has_protected_content"": false
}",774,2023-08-15 20:01:02,"👨🏻‍💻 Категорийный аналитик

Кабель.РФ (ООО ""Электропоставщик"") — интернет-проект  по продаже электротехнической и общепромышленной продукции в России, в поисках аналитика

Что почём?

▪️Middle
▪️150 000 - 200 000 ₽
▪️Удалёнка / Офис (Саранск)

📩 Изучить вакансию","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 8,
        ""length"": 23
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.URL"",
        ""offset"": 31,
        ""length"": 9
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 175,
        ""length"": 12
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 250,
        ""length"": 16,
        ""url"": ""https://hh.ru/vacancy/85018465""
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""ChatType.CHANNEL"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgADybIxGxn9wUoAEAIAA76x7tIW____oRgnwqaE044ABB4E"",
        ""small_photo_unique_id"": ""AgADybIxGxn9wUo"",
        ""big_file_id"": ""AQADAgADybIxGxn9wUoAEAMAA76x7tIW____oRgnwqaE044ABB4E"",
        ""big_photo_unique_id"": ""AgADybIxGxn9wUo""
    },
    ""dc_id"": 2,
    ""has_protected_content"": false
}",773,2023-08-15 09:02:02,"👨🏻‍💻 Младший аналитик данных

SMS Traffic — является крупным игроком на рынке коммуникации компаний и клиентов,  при помощи различных каналов связи, ищет младшего аналитика данных

Что почём?

▪️Junior
▪️До 100 000 ₽
▪️Офис (Москва)

📩 Изучить вакансию","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 8,
        ""length"": 25
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 184,
        ""length"": 12
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 240,
        ""length"": 16,
        ""url"": ""https://hh.ru/vacancy/85060745""
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""ChatType.CHANNEL"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgADybIxGxn9wUoAEAIAA76x7tIW____oRgnwqaE044ABB4E"",
        ""small_photo_unique_id"": ""AgADybIxGxn9wUo"",
        ""big_file_id"": ""AQADAgADybIxGxn9wUoAEAMAA76x7tIW____oRgnwqaE044ABB4E"",
        ""big_photo_unique_id"": ""AgADybIxGxn9wUo""
    },
    ""dc_id"": 2,
    ""has_protected_content"": false
}",772,2023-08-14 20:02:08,"👨🏻‍💻 Senior MLOps-инженер

Rubbles — компания занимающаяся разработкой ПО, анализом данных и машинным обучением, для различных индустрий, ищет Senior MLOps-инженера, способного проектировать, разрабатывать и поддерживать MLOps-платформы

Что почём?

▪️Senior
▪️260 000 - 380 000 ₽
▪️Офис (Москва) / Гибрид / Удалёнка (в пределах РФ)

📩 Изучить вакансию","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 8,
        ""length"": 22
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 241,
        ""length"": 12
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 340,
        ""length"": 16,
        ""url"": ""https://career.habr.com/vacancies/1000128287""
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""ChatType.CHANNEL"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgADybIxGxn9wUoAEAIAA76x7tIW____oRgnwqaE044ABB4E"",
        ""small_photo_unique_id"": ""AgADybIxGxn9wUo"",
        ""big_file_id"": ""AQADAgADybIxGxn9wUoAEAMAA76x7tIW____oRgnwqaE044ABB4E"",
        ""big_photo_unique_id"": ""AgADybIxGxn9wUo""
    },
    ""dc_id"": 2,
    ""has_protected_content"": false
}",771,2023-08-14 09:01:01,"👨🏻‍💻 Data-аналитик

UPMETRIC — продуктовая IT компания, создающая  MarTech SaaS решения для ритейлеров, ищет аналитика данных

 Что почём?

▪️Middle
▪️От 130 000 ₽
▪️Удалённая работа

📩 Изучить вакансию","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 8,
        ""length"": 15
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 131,
        ""length"": 12
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 190,
        ""length"": 16,
        ""url"": ""https://hh.ru/vacancy/84829177""
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""ChatType.CHANNEL"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgADybIxGxn9wUoAEAIAA76x7tIW____oRgnwqaE044ABB4E"",
        ""small_photo_unique_id"": ""AgADybIxGxn9wUo"",
        ""big_file_id"": ""AQADAgADybIxGxn9wUoAEAMAA76x7tIW____oRgnwqaE044ABB4E"",
        ""big_photo_unique_id"": ""AgADybIxGxn9wUo""
    },
    ""dc_id"": 2,
    ""has_protected_content"": false
}",770,2023-08-13 09:01:19,"#дайджест #DataJobs

Вакансии в аналитике и Data Science с удалённым форматом работы

▪️Data Scientist (Прогнозирование)
Удалёнка / Москва, Sportmaster Lab
Подробнее

▪️ML-инженер
Удалёнка / Москва, Тинькофф
Подробнее

▪️Data Scientist (Senior)
Удалёнка, Росбанк
Подробнее

▪️Аналитик данных (EdTech)
Удалёнка, LinguaTrip — EdTech, онлайн-платформа для изучения иностранных языков
Подробнее

▪️Senior/ Lead Machine Learning Engineer
Удалёнка, Ассистагро — agritech компания
Подробнее

▪️Data Engineer
Удалёнка, МегаФон
Подробнее

▪️Data Scientist (Machine Learning for Tabular Data)
Удалёнка, BIA-Technologies — бизнес-интеграция и разработка программных решений для бизнеса
Подробнее

▪️Head of Data Science
Удалёнка, Лента — продуктовый ритейл
Подробнее

Понравились вакансии?
❤️ — да
🤔 — нет","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.HASHTAG"",
        ""offset"": 0,
        ""length"": 9
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.HASHTAG"",
        ""offset"": 10,
        ""length"": 9
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 88,
        ""length"": 33
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 156,
        ""length"": 11,
        ""url"": ""https://career.habr.com/vacancies/1000125149""
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 169,
        ""length"": 11
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 208,
        ""length"": 11,
        ""url"": ""https://career.habr.com/vacancies/1000125476""
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 221,
        ""length"": 24
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 263,
        ""length"": 11,
        ""url"": ""https://hh.ru/vacancy/79720387""
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 276,
        ""length"": 25
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 381,
        ""length"": 11,
        ""url"": ""https://hh.ru/vacancy/84429772""
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 394,
        ""length"": 39
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 474,
        ""length"": 11,
        ""url"": ""https://hh.ru/vacancy/84373035""
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 487,
        ""length"": 14
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 519,
        ""length"": 11,
        ""url"": ""https://career.habr.com/vacancies/1000128760""
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 532,
        ""length"": 51
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 675,
        ""length"": 11,
        ""url"": ""https://career.habr.com/vacancies/1000121972""
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 688,
        ""length"": 21
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 746,
        ""length"": 11,
        ""url"": ""https://hh.ru/vacancy/84215163""
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""ChatType.CHANNEL"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgADybIxGxn9wUoAEAIAA76x7tIW____oRgnwqaE044ABB4E"",
        ""small_photo_unique_id"": ""AgADybIxGxn9wUo"",
        ""big_file_id"": ""AQADAgADybIxGxn9wUoAEAMAA76x7tIW____oRgnwqaE044ABB4E"",
        ""big_photo_unique_id"": ""AgADybIxGxn9wUo""
    },
    ""dc_id"": 2,
    ""has_protected_content"": false
}",769,2023-08-12 20:00:00,"👨🏻‍💻 Архитектор данных

Мастерская цифровых решений — IT-разработчик автоматизирующий бизнес-процессы, специализирующийся на электроэнергетике, ищет архитектора данных

 Что почём?

▪️Senior
▪️От 220 000 ₽
▪️Офис (Москва, м.Текстильщики) / Гибрид

📩 Изучить вакансию","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 8,
        ""length"": 19
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.BOLD"",
        ""offset"": 173,
        ""length"": 12
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""MessageEntityType.TEXT_LINK"",
        ""offset"": 254,
        ""length"": 16,
        ""url"": ""https://hh.ru/vacancy/84931174""
    }
]"
